id,value
id_0,25.36235154783971
id_1,64.26032700720165
id_2,20.42132777700467
id_3,29.047545789127412
id_4,9.974105170230255
id_5,36.25198830498357
id_6,39.23363977704525
id_7,16.17486264171507
id_8,51.1208997206359
id_9,33.38266423771912
id_10,38.98965634564472
id_11,55.26330884224335
id_12,35.124267465246554
id_13,39.65340802043876
id_14,26.933699726133884
id_15,12.4805897303036
id_16,51.59406837288724
id_17,22.924055239172812
id_18,17.377067178920274
id_19,18.47505224302321
id_20,15.721176704229658
id_21,30.452932187934653
id_22,38.10301957480328
id_23,9.58628042288598
id_24,58.45228883909608
id_25,44.04583708991385
id_26,26.672272062533803
id_27,8.586158844230694
id_28,30.78219564497947
id_29,35.78858790405261
id_30,17.23256723787716
id_31,11.265172630594599
id_32,16.440515521740465
id_33,6.785747475141071
id_34,16.94901050254825
id_35,40.119541800588394
id_36,19.966448496378003
id_37,27.12544693246718
id_38,10.234032921916624
id_39,62.15904610145855
id_40,47.43932465026841
id_41,18.694128626194946
id_42,52.282676753266564
id_43,18.217000443475076
id_44,44.73418715082588
id_45,50.40375585948296
id_46,59.86009049986639
id_47,41.70695123326214
id_48,50.86729444501043
id_49,39.980736145265304
id_50,28.695814306294245
id_51,23.50859294810395
id_52,40.13912421945648
id_53,24.093483472766753
id_54,38.07533868485957
id_55,41.17397562970287
id_56,24.341041287275306
id_57,22.772189046370297
id_58,36.73519169680114
id_59,32.53211387803342
id_60,15.335932634128286
id_61,24.761025989533238
id_62,32.1980917073936
id_63,54.452065589228276
id_64,48.42853309353785
id_65,25.910545426665376
id_66,38.87949995045452
id_67,52.663812905127934
id_68,25.842253855298516
id_69,36.59147791579259
id_70,62.981279526756914
id_71,55.521535776368204
id_72,43.60012654623742
id_73,12.956446440919008
id_74,10.718033556607454
id_75,36.98970135388095
id_76,61.66550800769336
id_77,2.0174546688901733
id_78,43.05526477802172
id_79,41.00703649656145
id_80,9.110734021484893
id_81,22.755591536591783
id_82,5.404895591460796
id_83,30.916532785606417
id_84,9.69862857589984
id_85,7.6144116202039545
id_86,16.975001004679733
id_87,11.811351407335657
id_88,15.155174135261134
id_89,26.399734610494352
